G_NUMBER	NAME_ALT2	GENOME_NAME	NAME_ORIGINAL	NAME_ALT1	N_NUMBER	PATIENT_ID	SEQ_MULTIPLE_LIBRARIES	PROVIDER	SEQ_FACILITY	PATH_ORIGINAL_FASTQS	LIBRARY_ID	PE_SE	DATE_SEQ	STATUS	FLAG_WARNING	WARNINGS	FASTQ_PATH	PATH_MAPPING_OUTPUT_V1	STATUS_MAPPING_V1	PATH_MAPPING_OUTPUT_V2	STATUS_MAPPING_V2	ANNEX_FILES	BIOPROJECT	SAMPLE_ACCESSION	RUN_ACCESSION	LINK_SRA	DATE_ISOLATION	COUNTRY_ISOLATION	COUNTRY_PATIENT_BIRTH	LINEAGE	SUBLINEAGE_GAGNEUX	SUBLINEAGE_COLL	GENOME_BASED_SPOLIGO	CONTACT_PERSON	COMMENTS	isolation_date	FQ.IN	NUMBER.READS	READ.TYPE	LNG	COVERAGE.MEAN	COVERAGE.SD	PERCENTAGE.NOT.COVERED	PERCENTAGE.LESS.5	NUMBER.ALL.VARIANTS	HOMO.SNPS	HET.SNPs	HOMO_HET.RATIO	NUMBER.INDELS	MAPPING.PERCENTAGE	DROPPED.TRIMMOMATIC	MEAN.READ.LENGHT	INSERT.SIZE.MEAN	PERCENTAGE.MTB	PERCENTAGE.NTMS	PERCENTAGE.UNCLASSIFIED	MERGING.OVERLAPPING.READS	LINAGE	LINEAGE_PROC	SUBLINEAGE	DR_STRINGENT_OUT	DR_EXTENDED_OUT	CM_OUT	KDV_OUT	PDM_OUT
G701973	ECF-14-J140	G701973	SAMEA110046453	ERX9334081	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786805_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786805_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110046453	ERR9786805	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786805/ERR9786805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786805/ERR9786805_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	02-05-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786805_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786805_2.fastq.gz	659557	PE	NA	47	16	0.007	0.016	1024	862	45	0.05	88	99.26%	0.29%	253	697	99.83	0.04	0.05	25.95%	L4 (3/3)	L4	L4.3.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701974	ECF-14-J143	G701974	SAMEA110013257	ERX9334082	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786806_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786806_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110013257	ERR9786806	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786806/ERR9786806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786806/ERR9786806_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	08-05-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786806_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786806_2.fastq.gz	3030313	PE	114.0265917	103	26	0.004	0.006	1015	844	58	0.07	88	99.29%	0.12%	85	459	99.8	0.11	0.07	0.27%	L4 (3/3)	L4	L4.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701975	ECF-14-J146	G701975	SAMEA110024201	ERX9334083	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786807_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786807_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110024201	ERR9786807	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786807/ERR9786807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786807/ERR9786807_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	27-05-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786807_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786807_2.fastq.gz	964639	PE	NA	66	18	0.013	0.018	1112	879	35	0.04	119	99.58%	0.13%	253	651	99.9	0.05	0.03	41.03%	L4 (3/3)	L4	L4.3.4.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701976	ECF-14-J148	G701976	SAMEA110013258	ERX9334084	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786808_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786808_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110013258	ERR9786808	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786808/ERR9786808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786808/ERR9786808_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	30-05-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786808_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786808_2.fastq.gz	1675010	PE	NA	85	25	0.015	0.023	1989	852	56	0.07	607	98.57%	0.09%	257	559	99.46	0.04	0.39	41.14%	L4 (3/3)	L4	L4.3.3	Susceptible|Susceptible	Susceptible|Susceptible	0	0	6
G701977	ECF-14-J155	G701977	SAMEA110040886	ERX9334085	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786809_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786809_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110040886	ERR9786809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786809/ERR9786809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786809/ERR9786809_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	09-07-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786809_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786809_2.fastq.gz	996128	PE	NA	67	17	0.003	0.009	1073	884	41	0.05	102	99.62%	0.12%	253	648	99.89	0.05	0.03	42.88%	L4 (3/3)	L4	L4.8	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701981	ECF-14-J161	G701981	SAMEA110046454	ERX9334089	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786813_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786813_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110046454	ERR9786813	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786813/ERR9786813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786813/ERR9786813_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	23-07-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786813_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786813_2.fastq.gz	4332621	PE	163.0306855	147	38	0.012	0.014	995	878	23	0.03	79	99.59%	0.10%	85	459	99.7	0.1	0.15	0.21%	L4 (3/3)	L4	L4.3.4.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701982	ECF-14-J162	G701982	SAMEA110051999	ERX9334090	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786814_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786814_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110051999	ERR9786814	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786814/ERR9786814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786814/ERR9786814_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	23-07-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786814_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786814_2.fastq.gz	343158	PE	NA	24	8	0.011	0.025	1023	815	98	0.12	86	99.13%	0.34%	253	737	99.79	0.04	0.08	25.56%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701983	ECF-14-J163	G701983	SAMEA110013259	ERX9334091	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786815_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786815_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110013259	ERR9786815	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786815/ERR9786815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786815/ERR9786815_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	23-07-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786815_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786815_2.fastq.gz	2095823	PE	NA	66	16	0.006	0.012	1172	801	93	0.12	146	97.89%	0.39%	258	463	99.41	0.17	0.37	72.95%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701984	ECF-14-J164	G701984	SAMEA110024202	ERX9334092	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786816_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786816_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110024202	ERR9786816	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786816/ERR9786816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786816/ERR9786816_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	04-08-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786816_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786816_2.fastq.gz	1366811	PE	NA	77	21	0.008	0.015	2030	880	39	0.04	613	98.88%	0.10%	255	582	99.9	0.02	0.07	30.57%	L4 (3/3)	L4	L4.3.2	Susceptible|Susceptible	RIF-Mono|RIF-Mono	0	0	6
G701985	ECF-14-J165	G701985	SAMEA110046455	ERX9334093	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786817_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786817_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110046455	ERR9786817	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786817/ERR9786817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786817/ERR9786817_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	04-08-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786817_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786817_2.fastq.gz	1452512	PE	NA	73	22	0.013	0.023	2132	819	93	0.11	744	86.91%	0.10%	257	579	88.87	0.04	10.13	34.82%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701987	ECF-14-J168	G701987	SAMEA110024203	ERX9334095	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786819_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786819_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110024203	ERR9786819	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786819/ERR9786819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786819/ERR9786819_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	08-08-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786819_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786819_2.fastq.gz	1686313	PE	NA	72	20	0.013	0.021	1724	883	52	0.06	440	98.54%	0.23%	250	498	99.85	0.04	0.1	39.42%	L4 (3/3)	L4	L4.3.4.2	Susceptible|Susceptible	RIF-Mono|RIF-Mono	0	0	5
G701988	ECF-14-J169	G701988	SAMEA110040889	ERX9334096	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786820_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786820_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110040889	ERR9786820	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786820/ERR9786820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786820/ERR9786820_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	14-08-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786820_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786820_2.fastq.gz	700503	PE	NA	48	13	0.012	0.016	1177	859	58	0.07	114	99.46%	0.13%	253	633	99.88	0.05	0.04	46.68%	L4 (3/3)	L4	L4.6.2.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701990	ECF-14-J184	G701990	SAMEA110040891	ERX9334098	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786822_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786822_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110040891	ERR9786822	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786822/ERR9786822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786822/ERR9786822_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	15-10-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786822_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786822_2.fastq.gz	1122644	PE	NA	65	17	0.006	0.014	2075	822	101	0.12	560	98.98%	0.06%	258	591	99.9	0.03	0.06	52.10%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	RIF-Mono|RIF-Mono	0	0	1
G701991	ECF-14-J185	G701991	SAMEA110013260	ERX9334099	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786823_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786823_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110013260	ERR9786823	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786823/ERR9786823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786823/ERR9786823_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	16-10-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786823_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786823_2.fastq.gz	712212	PE	NA	50	14	0.006	0.013	1106	848	45	0.05	110	99.35%	0.16%	253	697	99.87	0.06	0.04	35.81%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701992	ECF-14-J186	G701992	SAMEA110013261	ERX9334100	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786824_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786824_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110013261	ERR9786824	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786824/ERR9786824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786824/ERR9786824_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	17-10-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786824_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786824_2.fastq.gz	1578576	PE	NA	97	25	0.006	0.009	1358	824	32	0.04	172	97.52%	0.10%	253	618	98.17	0.06	1.66	49.44%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701993	ECF-14-J189	G701993	SAMEA110037107	ERX9334101	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786825_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786825_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110037107	ERR9786825	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786825/ERR9786825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786825/ERR9786825_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	23-10-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786825_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786825_2.fastq.gz	1040573	PE	NA	67	18	0.007	0.012	1157	837	46	0.05	88	99.10%	0.09%	253	622	99.51	0.06	0.37	50.03%	L4 (3/3)	L4	L4.7	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701994	ECF-14-J190	G701994	SAMEA110040892	ERX9334102	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786826_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786826_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110040892	ERR9786826	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786826/ERR9786826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786826/ERR9786826_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	29-10-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786826_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786826_2.fastq.gz	495205	PE	NA	34	10	0.012	0.021	1092	815	92	0.11	99	99.26%	0.19%	253	734	99.88	0.06	0.04	39.77%	L4 (3/3)	L4	L4.1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701995	ECF-14-J193	G701995	SAMEA110013262	ERX9334103	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786827_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786827_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110013262	ERR9786827	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786827/ERR9786827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786827/ERR9786827_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	10-11-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786827_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786827_2.fastq.gz	1353743	PE	NA	77	21	0.013	0.019	1832	880	32	0.04	440	99.24%	0.06%	258	585	99.9	0.03	0.06	51.82%	L4 (3/3)	L4	L4.3.4.2	Susceptible|Susceptible	INH-Mono|INH-Mono	0	0	6
G701997	ECF-14-J198	G701997	SAMEA110024204	ERX9334105	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786829_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786829_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110024204	ERR9786829	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786829/ERR9786829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786829/ERR9786829_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	27-11-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786829_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786829_2.fastq.gz	953752	PE	NA	72	21	0.008	0.015	1020	818	47	0.06	124	99.32%	0.15%	253	814	99.81	0.04	0.05	20.09%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701998	ECF-14-N103	G701998	SAMEA110031522	ERX9334106	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786830_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786830_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110031522	ERR9786830	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786830/ERR9786830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786830/ERR9786830_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	17-01-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786830_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786830_2.fastq.gz	1200688	PE	NA	54	19	0.008	0.014	1921	790	106	0.13	410	98.47%	0.23%	255	523	99.82	0.04	0.13	54.15%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	INH-Mono|INH-Mono	0	0	4
G701999	ECF-14-N104	G701999	SAMEA110040893	ERX9334107	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786831_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786831_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA110040893	ERR9786831	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786831/ERR9786831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786831/ERR9786831_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	17-01-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786831_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786831_2.fastq.gz	1705928	PE	NA	102	26	0.01	0.013	1123	797	45	0.06	126	99.22%	0.16%	253	611	99.86	0.05	0.05	47.85%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
